# inner_x, inner_y, inner_vel, center_x, center_y, center_vel, outer_x, outer_y, outer_vel, race_x, race_y, race_vel
-54.458384,23.998778,7.942620,-54.943592,23.737421,7.941568,-55.433562,23.486442,7.940876,-54.432203,23.648019,8.000000
-54.600111,24.307819,7.953052,-55.086725,24.049484,7.952192,-55.578131,23.801606,7.951596,-54.621774,24.000152,8.000000
-54.741692,24.616926,7.961361,-55.229706,24.361616,7.960679,-55.722542,24.116841,7.960188,-54.716900,24.176034,8.000000
-54.883165,24.926083,7.967577,-55.372574,24.673801,7.967057,-55.866836,24.432130,7.966655,-54.907858,24.527416,8.000000
-55.024567,25.235272,7.971632,-55.515366,24.986020,7.971257,-56.011052,24.747456,7.970924,-55.099790,24.878268,8.000000
-55.165935,25.544477,7.973631,-55.658121,25.298257,7.973377,-56.155228,25.062799,7.973101,-55.196133,25.053486,8.000000
-55.307305,25.853681,7.973523,-55.800876,25.610493,7.973376,-56.299403,25.378143,7.973112,-55.389601,25.403493,8.000000
-55.448714,26.162867,7.971160,-55.943670,25.922711,7.971101,-56.443618,25.693469,7.970899,-55.584142,25.752905,8.000000
-55.590200,26.472018,7.969677,-56.086540,26.234895,7.969756,-56.587910,26.008759,7.969774,-55.681827,25.927379,8.000000
-55.731800,26.781116,7.970552,-56.229526,26.547025,7.970806,-56.732321,26.323995,7.971093,-55.878052,26.275847,8.000000
-55.873550,27.090147,7.969174,-56.372663,26.859086,7.969372,-56.876887,26.639160,7.969441,-56.075448,26.623654,8.000000
-56.015487,27.399090,7.963579,-56.515992,27.171059,7.963575,-57.021651,26.954234,7.963383,-56.174597,26.797300,8.000000
-56.157641,27.707935,7.955512,-56.659542,27.482931,7.955262,-57.166639,27.269205,7.954717,-56.373821,27.144062,8.000000
-56.299952,28.016707,7.944995,-56.803250,27.794729,7.944584,-57.311783,27.584104,7.943836,-56.574313,27.490094,8.000000
-56.442303,28.325460,7.932613,-56.946996,28.106511,7.931877,-57.456957,27.898989,7.930604,-56.776109,27.835365,8.000000
